Company,Symbol,Date,Segment,Call,Price
Allergan (AGN),AGN,2017-01-03,D,1,$216.19
Applied Materials (AMAT),AMAT,2017-01-03,D,1,$31.94
Caterpillar (CAT),CAT,2017-01-03,F,4,$93.99
Comerica (CMA),CMA,2017-01-03,D,1,$68.96
Chevron (CVX),CVX,2017-01-03,F,4,$117.85
Endo Pharmaceuticals (ENDP),ENDP,2017-01-03,D,5,$17.47
First Solar (FSLR),FSLR,2017-01-03,D,5,$33.54
Goldman Sachs (GS),GS,2017-01-03,F,1,$241.57
Halliburton (HAL),HAL,2017-01-03,D,1,$55.68
JPMorgan Chase (JPM),JPM,2017-01-03,F,1,$87.23
NVIDIA (NVDA),NVDA,2017-01-03,F,1,$102.01
Oneok (OKE),OKE,2017-01-03,D,1,$58.75
Perrigo (PRGO),PRGO,2017-01-03,D,5,$86.50
Quanta Services (PWR),PWR,2017-01-03,D,1,$34.91
Regeneron Pharmaceuticals (REGN),REGN,2017-01-03,D,2,$379.70
TripAdvisor (TRIP),TRIP,2017-01-03,D,4,$47.51
UnitedHealth Group (UNH),UNH,2017-01-03,F,1,$161.45
Vertex Pharmaceuticals (VRTX),VRTX,2017-01-03,D,2,$74.89
Boeing (BA),BA,2017-01-04,D,1,$158.62
Dominion Energy (D),D,2017-01-04,I,1,$76.18
General Motors (GM),GM,2017-01-04,D,1,$37.09
Lockheed Martin (LMT),LMT,2017-01-04,D,1,$253.99
MindBody (MB),MB,2017-01-04,I,1,$23.30
United Technologies (UTX),UTX,2017-01-04,D,1,$110.90
Apple (AAPL),AAPL,2017-01-05,D,1,$116.61
Amazon (AMZN),AMZN,2017-01-05,D,2,$780.45
Box (BOX),BOX,2017-01-05,I,1,$14.56
Meta (FB),FB,2017-01-05,D,1,$120.67
Halozyme Therapeutics (HALO),HALO,2017-01-05,I,2,$12.61
Kohl's (KSS),KSS,2017-01-05,D,5,$42.01
L Brands (LB),LB,2017-01-05,D,5,$62.04
Macy's (M),M,2017-01-05,D,5,$30.86
Constellation Brands (STZ),STZ,2017-01-05,I,1,$146.75
Target (TGT),TGT,2017-01-05,D,4,$72.56
Walmart (WMT),WMT,2017-01-05,D,4,$69.21
Allergan (AGN),AGN,2017-01-06,D,1,$219.08
Alkermes (ALKS),ALKS,2017-01-06,D,2,$59.64
Amgen (AMGN),AMGN,2017-01-06,D,1,$156.78
Bank of America (BAC),BAC,2017-01-06,D,2,$22.68
Celgene (CELG),CELG,2017-01-06,D,2,$119.64
Delta Air Lines (DAL),DAL,2017-01-06,D,2,$49.68
Hudson Technologies (HDSN),HDSN,2017-01-06,M,5,$7.76
JPMorgan Chase (JPM),JPM,2017-01-06,D,2,$86.12
KB Home (KBH),KBH,2017-01-06,D,2,$16.21
Carmax (KMX),KMX,2017-01-06,D,4,$65.40
Southwest Airlines (LUV),LUV,2017-01-06,D,1,$49.93
Regeneron Pharmaceuticals (REGN),REGN,2017-01-06,D,2,$358.68
Shenandoah Telecommunicat (SHEN),SHEN,2017-01-06,M,5,$29.15
Splunk (SPLK),SPLK,2017-01-06,D,4,$56.17
Constellation Brands (STZ),STZ,2017-01-06,F,1,$149.44
