time,content,comments,retweets,quotes,hearts
2012-12-30 16:26:00,"RT @WallStreetGamer: @jimcramer 16%  lol..  I like the risk reward on the Giants! -j Vick starting, but why get hurt? Jints are proud team",0.0,,0.0,0
2012-12-30 16:25:00,"RT @SteveThomasNow: @JimCramer As you have portrayed Grover Norquist in a favorable light, I will boycott your show-j--hilarious tweet!!!",0.0,,0.0,0
2012-12-30 16:24:00,"Oh and for people in Mad Money FF league, i am not talking about a deal by today's Super Bowl where i play Love Tub for all the marbles!",0.0,,0.0,0
2012-12-30 16:23:00,I would put odds on deal before New Year similar to Giants making it into playoffs. Not impossible but slim..,0.0,,0.0,0
2012-12-30 16:22:00,Here's why stalemate: Tea Party will vote Boehner out if he brings anything to a vote.. so odds not that great of deal.,0.0,,0.0,0
2012-12-30 16:19:00,Norquist more in charge than ever as no-increase in tax pledge by Tea Party makes deal almost impossible...,0.0,,0.0,0
2012-12-30 16:17:00,Still saying that deal might not come until Superbowl Weekend as no anger by people until then. People asleep at Cliff wheel...,0.0,,,0
2012-12-25 15:02:00,Merry Christmas to all!!!,0.0,,0.0,0
2012-12-24 04:20:00,Best football moment all year in the Linc,0.0,,0.0,0
2012-12-24 04:18:00,RT @Dman5353: @jimcramer he has more hair then you--jj no kidding,0.0,,0.0,0
2012-12-24 04:17:00,"RT @phippsjm: @jimcramer Hi,  you Dad is one lucky guy, don't you think.-j nah, i am one lucky guy, I got Pop!!!",0.0,,0.0,0
2012-12-24 04:15:00,"RT @BrandonDeckert: buy, sell, or hold Nick Foles for the long term solution at quarterback for the eagles? j: he's no Wilson, Luck., RG",0.0,,0.0,0
2012-12-23 19:19:00,At least pop (in the middle) is able to enjoy himself!,0.0,,0.0,0
2012-12-23 18:46:00,Something to root for in a real bad season in Philly,0.0,,0.0,0
2012-12-23 03:07:00,The gang at the fire pit out back at Frankie's !,0.0,,0.0,0
2012-12-23 03:06:00,Fabulous dinner at Frankie's still the best restaurant in Brooklyn!!!,0.0,,0.0,0
2012-12-22 20:02:00,RT @ScientistGuy: @jimcramer You're my hero. I subscribe to all your services and have read all your books. Thank you.--you are very kind,0.0,,,0
2012-12-22 20:02:00,"RT @JeremyXavier1: @jimcramer is herbalife a ""pyramid scheme""?-jj working on this all weekend",0.0,,0.0,0
2012-12-22 20:00:00,"RT @roxmysxof: At Harrahs Cherokee casino, quoting Cramer left and right.  j--hate to say it but i don't expect many people to know ""Cramer""",,,,0
2012-12-22 19:59:00,"RT @retat50: @jimcramer shopping at dollar tree today, no Xmas music, no music at all! Depressing almost...not returning-j true. a shame",0.0,,0.0,0
2012-12-22 19:59:00,RT @Panatl: @jimcramer $ aapl will be 400 soon... and may be lower by end of 2013 j thanks for your clarity.,0.0,,0.0,0
2012-12-22 19:59:00,"RT @uvajas: @jimcramer Microsoft Windows 8 store is PACKED at Tyson Corner.  Time to buy...?-jj mine was empty, time to sell $MSFT?",0.0,,0.0,0
2012-12-22 00:10:00,"RT @Smaher10811: @jimcramer MGM buy?--jj let's see, i recommended it 47 minutes ago and still like it!",0.0,,,0
2012-12-21 23:46:00,"RT @kyleshoren: big call, Seahawks at home! That will be a brutal game.-9ers have to be tired; hawks totally jacked. Love that team!",0.0,,0.0,0
2012-12-21 23:45:00,RT @danspar: @jimcramer @faceplantjim  Seahawks at home with 12th man backing - like having Cramer on team!--jj starting Wilson in finals!,0.0,,,0
2012-12-21 23:45:00,RT @MKTactn: @jimcramer with the Khan reference! Live long and BOOYAH! #marketaction--j Earwig scene one of the best EVER!,0.0,,0.0,0
2012-12-21 23:43:00,"RT @LiveFreeNH1784:r Your wrong on the 2008/2009 meltdown. There was no global credit freeze, just a potential loss to $GS. j -quite wrong",,,,0
2012-12-21 23:42:00,"Vivek from $TIBX owned the bad q, which he described as a disaster, but remember, $CRM didn't have a disaster....",,,,0
2012-12-21 23:41:00,RT @astegens: @jimcramer @stephanie_link Tibco CEO stand-up guy to go on Mad Money ... Refreshing j agreed but real bad quarter-disatrous,,,,0
2012-12-21 23:41:00,"RT @Mike_T_Barber: NO debt ceiling compromise means we will be right back ..better to keep your powder dry. j-no, you have to buy weakness",0.0,,,0
2012-12-21 22:22:00,"RT @FaceplantJim: @jimcramer you doin a MM show today, Jim? Hope so ☺--j of course. I come to play...I like the Seahawks at home!",,,,0
2012-12-21 22:19:00,RT @RichGuzzo: @jimcramer Should i be selling off everything? $YHOO $FB $MSFT $EMC $MO-j why? do you not like your stocks?,,,0.0,0
2012-12-21 22:07:00,RT @CamacConsulting: is TheStreet.com going to upgrade $ANAD yet?! Your company has the stock at a sell..j-so NOT up to me,,,0.0,0
2012-12-21 22:06:00,Gamble with me tonight--but bet with the house!,0.0,,0.0,0
2012-12-21 18:34:00,"Picking, not aggressively, as some of our favorite names for my charitable trust, bit.ly/bbYAPN--first buys...",0.0,,0.0,0
2012-12-21 09:16:00,"And is this ""between the TARPS"" or is it ""debt ceiling decline"" both of which would indicate much lower prices..",0.0,,0.0,0
2012-12-21 09:16:00,"Did ""the market"" ever really believe the GOP could ever vote for a tax increase? Not Boehner but the GOP?",0.0,,0.0,0
2012-12-21 09:15:00,"When is the cliff jump ""in"" the market? two percent from here? four? that's what i am spending the day figuring out",0.0,,0.0,0
2012-12-21 04:06:00,"RT @dangainor: Grover wasn't elected by the same folks who didn't elect you either. This being a free nation, he gets his voice.; j-agreed!",0.0,,,0
2012-12-21 04:02:00,Where's Thursday night football when we need it!,0.0,,0.0,0
2012-12-21 04:02:00,The new narrative is NOT going to switch to re-recession. It will switch to maybe it won't be so bad...and maybe it won't be...,0.0,,,0
2012-12-21 03:59:00,RT @misterrobbieman: I don't seem to remember Grover being elected to anything?! jj What election did Boss Tweed win?,0.0,,,0
2012-12-21 03:58:00,Odd action--futures not down enough v. the stories i am seeing that say huge decline-reconcile better in a.m.,0.0,,0.0,0
2012-12-21 02:34:00,Still going with Superbowl Solution--nothing until everyone sees the paycheck... See yah in New Orleans!!,0.0,,0.0,0
